Authors,Author(s) ID,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Document Type,Source
"Anumala U.R., Waaler J., Nkizinkiko Y., Ignatev A., Lazarow K., Lindemann P., Olsen P.A., Murthy S., Obaji E., Majouga A.G., Leonov S., Von Kries J.P., Lehtiö L., Krauss S., Nazaré M.","55217660000;36775584200;55759690200;13407440900;26040885900;57205715213;10640537200;57194757648;55759646300;9337277100;16072239100;6603183899;6507478836;56229130300;7003358648;","Discovery of a Novel Series of Tankyrase Inhibitors by a Hybridization Approach",2017,"Journal of Medicinal Chemistry",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040000822&doi=10.1021%2facs.jmedchem.7b00883&partnerID=40&md5=7eaef2aa3c8079a631e71667eaa195fa","A structure-guided hybridization approach using two privileged substructures gave instant access to a new series of tankyrase inhibitors. The identified inhibitor 16 displays high target affinity on tankyrase 1 and 2 with biochemical and cellular IC 50 values of 29 nM, 6.3 nM and 19 nM, respectively, and high selectivity toward other poly (ADP-ribose) polymerase enzymes. The identified inhibitor shows a favorable in vitro ADME profile as well as good oral bioavailability in mice, rats, and dogs. Critical for the approach was the utilization of an appropriate linker between 1,2,4-triazole and benzimidazolone moieties, whereby a cyclobutyl linker displayed superior affinity compared to a cyclohexane and phenyl linker. © 2017 American Chemical Society.",,Article,Scopus
"Li A., Zhang T., Zheng M., Liu Y., Chen Z.","57200205369;57203238426;56479809200;54389433500;37064299300;","Exosomal proteins as potential markers of tumor diagnosis",2017,"Journal of Hematology and Oncology",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040181014&doi=10.1186%2fs13045-017-0542-8&partnerID=40&md5=8919e7db4387da50f35d20234534debf","Liquid biopsy especially that of exosomes carries tumor-specific molecules and provides useful information during tumor development and progression in ""real time."" Exosomes are membrane-encapsulated vesicles, constantly released by multiple cells, including cancer cells, in large quantities, and are widely present in body fluids. Tumor exosomes can remodel a tumor-supportive microenvironment via cross-talk with target cells. Recent research has mainly focused on exosomal miRNAs and to a small degree on proteins. However, detecting the genome output (active proteins such as phosphoproteins) can provide more direct information about disease progression, such as in the early discovery and monitoring of cancers. This review highlights the unique features of exosomal proteins over traditional serological markers and summarizes their recent use in cancer diagnosis and prognosis. Furthermore, we describe the general protocols of research on exosome proteomics with an emphasis on their clinical use. © 2017 The Author(s).","Cancer biomarker; Detection; Exosomal proteins; Exosomes; Isolation",Review,Scopus
"Yu K.-H., Berry G.J., Rubin D.L., Ré C., Altman R.B., Snyder M.","46961582400;7202085807;7202307112;10739281400;7202798518;57202452790;","Association of Omics Features with Histopathology Patterns in Lung Adenocarcinoma",2017,"Cell Systems",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033780544&doi=10.1016%2fj.cels.2017.10.014&partnerID=40&md5=9cf19a2e72dbba9661ee46cb8671c6d8","Adenocarcinoma accounts for more than 40% of lung malignancy, and microscopic pathology evaluation is indispensable for its diagnosis. However, how histopathology findings relate to molecular abnormalities remains largely unknown. Here, we obtained H&E-stained whole-slide histopathology images, pathology reports, RNA sequencing, and proteomics data of 538 lung adenocarcinoma patients from The Cancer Genome Atlas and used these to identify molecular pathways associated with histopathology patterns. We report cell-cycle regulation and nucleotide binding pathways underpinning tumor cell dedifferentiation, and we predicted histology grade using transcriptomics and proteomics signatures (area under curve >0.80). We built an integrative histopathology-transcriptomics model to generate better prognostic predictions for stage I patients (p = 0.0182 ± 0.0021) compared with gene expression or histopathology studies alone, and the results were replicated in an independent cohort (p = 0.0220 ± 0.0070). These results motivate the integration of histopathology and omics data to investigate molecular mechanisms of pathology findings and enhance clinical prognostic prediction. Integrative omics-histopathology analyses identified the gene and protein expression patterns associated with lung adenocarcinoma differentiation. Regularized machine-learning models using both transcriptomics and histopathology information better predicted the survival outcomes of stage I lung adenocarcinoma patients, with the results replicated in an independent cohort. © 2017 Elsevier Inc.","cancer genomics; cancer imaging; cancer proteomics; cancer transcriptomics; lung adenocarcinoma; machine learning; precision medicine; predictive medicine; quantitative pathology",Article,Scopus
"Dreher C., Habermehl D., Jäkel O., Combs S.E.","55848530500;24080079000;7003530041;9436734900;","Effective radiotherapeutic treatment intensification in patients with pancreatic cancer: Higher doses alone, Higher RBE or both?",2017,"Radiation Oncology",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039912183&doi=10.1186%2fs13014-017-0945-2&partnerID=40&md5=0da6d32bc2635959c93ba065b3eb11aa","Pancreatic cancer, especially in case of locally advanced stage has a poor prognosis. Radiotherapy in general can lead to tumor volume reduction, but further improvements, such as ion beam therapy have to be promoted in order to enable dose escalation, which in turn results in better local control rates and downsizing of the tumor itself. Ion beam therapy with its highly promising physical properties is also accompanied by distinct inter- and intrafractional challenges in case of robustness. First clinical results are promising, but further research in motion mitigation and biological treatment planning is necessary, in order to determine the best clinical rationales and conditions of ion beam therapy of pancreatic cancer. This review summarizes the current knowledge and studies on ion beam therapy of pancreatic cancer. © 2017 The Author(s).","Carbon ions; Ion beam therapy; Pancreatic cancer; Particle radiotherapy; Protons; RBE",Review,Scopus
"Lin T.F., Huang B., Robbins E.","57188550927;35848507900;7006547336;","Congenital Malignant Disorders",2017,"Avery's Diseases of the Newborn: Tenth Edition",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046320060&doi=10.1016%2fB978-0-323-40139-5.00085-1&partnerID=40&md5=2d0b001bc8330bfd3bf17d6232bc371c","The spectrum of malignancies in neonates differs from that in children.âMalignancies in neonates are often associated with a genetic predisposition.â Neuroblastoma and leukemia are the most common malignancies in neonates.â Cancer treatment in neonates poses unique challenges, including the likelihood of significant late effects.â Congenital solid tumors are often diagnosed in utero by ultrasonography. © 2018 Elsevier Inc. All rights reserved.","Cancer; Leukemia; Malignancy; Neonatal cancer; Neuroblastoma",Book Chapter,Scopus
"Scheffer H.J.","55450207100;","History of image-guided tumor ablation",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054945071&doi=10.1007%2f978-3-319-55113-5_1&partnerID=40&md5=661f7569c47200362770423c7922af6e","The oldest known account of cancer dates from approximately 3,000-2,500 B.C. An Egyptian papyrus manuscript describes eight ulcers of the breast. Twelve centuries later, the Greek physician Hippocrates developed the theory of 'black bile' as the sinister porter of cancer and employed the word 'carcinoma'. In the Renaissance, after years of extensive autopsies, anatomist Andreas Vesalius dispelled the theory of 'black bile' and developed one of the most influential books on anatomy. In the 18th century the first proper oncological surgical procedures were performed. The late 19th century saw the emergence of two other mainstays of cancer therapy: systemic chemotherapy and external beam radiation therapy. The past decades, image-guided tumor ablation techniques were developed, further broadening treatment possibilities and oncologic survival. This chapter provides a brief overview of the history of cancer and the development of cancer treatment throughout the centuries. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Li H., Zhang W., He N., Tong W., Gao C.","55800010700;56446643500;57200174243;8921435900;55427164200;","Phototriggered N2-Generating Submicron Particles for Selective Killing of Cancer Cells",2017,"ACS Applied Materials and Interfaces",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040041356&doi=10.1021%2facsami.7b16362&partnerID=40&md5=1c19645bf842be9492d1431312ce0839","Killing of cancer cells by applying mechanical disruption has been an appealing emerging strategy for cancer treatment in recent years. In this study, photoresponsive submicron particles based on diazo-resin that are able to release N2 under UV irradiation were prepared through a polyamine-salt aggregation method. After surface modification with hyaluronic acid, the particles could be internalized selectively by cancer cells and were mainly located in lysosomes after 6 h incubation. The viability of cancer cells decreased obviously after they were co-cultured with photoresponsive particles and UV irradiation due to the integrity damage of lysosomes by phototriggered N2 generation and the subsequent increased number of reactive oxygen species. © 2017 American Chemical Society.","diazo-resin; N2; particles; photoresponsive; targeted delivery",Article,Scopus
"Scheltema M., de la Rosette J.","55253018100;7102844406;","Irreversible electroporation of prostate tumors",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054941467&doi=10.1007%2f978-3-319-55113-5_14&partnerID=40&md5=7b2536fc6aceee1c94845da1c1fb14a4","In the past years, focal therapy in localized prostate cancer has gained increasing interest. In focal therapy the tumor lesion is targeted while sparing adjacent anatomical structures that are of importance for urinary, rectal, and erectile function, aiming for functional preservation. The first phase 1-2 trials in human showed that irreversible electroporation (IRE) is a safe and effective treatment modality for focal therapy in localized prostate cancer. Functional outcomes are promising, while all treated patients being pad-free continent following the IRE procedure. Potency was preserved in 56-95% of the patients that had a good erectile function prior to the IRE procedure. Although good short-term oncological outcome has been shown, long-term data are warranted. This chapter focuses on the clinical aspects of prostate cancer treatment with irreversible electroporation, elaborating on patient selection, treatment procedures, and follow-up after focal therapy and provides an update on current results on irreversible electroporation in prostate cancer. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Hung C.-M., Liu L.-C., Ho C.-T., Lin Y.-C., Way T.-D.","55634890800;12545944700;56510763200;7407359929;57191856762;","Pterostilbene Enhances TRAIL-Induced Apoptosis through the Induction of Death Receptors and Downregulation of Cell Survival Proteins in TRAIL-Resistance Triple Negative Breast Cancer Cells",2017,"Journal of Agricultural and Food Chemistry",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040010732&doi=10.1021%2facs.jafc.7b02358&partnerID=40&md5=af5cc16eb5a5a1d4afd247bc3209792d","Tumor necrosis factor-related apoptosis-induced ligand (TRAIL) is nontoxic to normal cells and preferentially cytotoxic to cancer cells. Recent data suggest that malignant breast cancer cells often become resistant to TRAIL. Pterostilbene (PTER), a naturally occurring analogue of resveratrol found in blueberries, is known to induce cancer cells to undergo apoptosis. In the present study, we examined whether PTER affects TRAIL-induced apoptosis and its mechanism in TRAIL-resistant triple negative breast cancer (TNBC) cells. Our data indicated that PTER induced apoptosis (14.68 ± 3.78% for 40 μM PTER vs 1.98 ± 0.25% for control, p < 0.01) in TNBC cells and enhanced TRAIL-induced apoptosis in TRAIL-resistant TNBC cells (18.45 ± 4.65% for 40 μM PTER vs 29.38 ± 6.35% for combination of 40 μM PTER and 100 ng/mL TRAIL, p < 0.01). We demonstrated that PTER induced death receptors DR5 and DR4 as well as decreased decoy receptor DcR-1 and DcR-2 expression. PTER also decreased the antiapoptotic proteins c-FLIPS/L, Bcl-Xl, Bcl-2, survivin, and XIAP. PTER induced the cleavage of bid protein and caused proapoptotic Bax accumulation. Moreover, we found that PTER induced the expression of DR4 and DR5 through the reactive oxygen species (ROS)/ endoplasmic reticulum (ER) stress/ERK 1/2 and p38/C/EBP-homologous protein (CHOP) signaling pathways. Overall, our results showed that PTER potentiated TRAIL-induced apoptosis via ROS-mediated CHOP activation leading to the expression of DR4 and DR5. © 2017 American Chemical Society.","death receptor; pterostilbene; ROS; TRAIL; triple negative breast cancer",Article,Scopus
"Kodama H., Srimathveeravalli G., Solomon S.B.","35268827200;15061783100;7401460593;","Irreversible electroporation of lung tumors",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054939767&doi=10.1007%2f978-3-319-55113-5_16&partnerID=40&md5=ad8cd1270a5299ca68c934ad06c4c464","Lung and bronchial cancer has the second highest incidence of new diagnosis in cancer patients and is the cause of the largest number of patient deaths due to cancer in the last decade. In addition to primary disease, lung is a common site for metastatic disease from colorectal cancer, breast cancer, and melanoma [1]. Partial (lobectomy) or complete resection of the lung remains the gold standard for treating this disease. However, surgery reduces lung capacity and results in significant reduction in quality of life in the postsurgical setting. Image-guided ablation is a suitable alternative to patients for whom surgery is contraindicated as this treatment approach can preserve lung volume and function and allow re-treatment in case of recurrent or metachronous disease. Ablation can be performed as a same day discharge procedure with minimal loss of lung function. When used as palliation, ablation will not impact quality of life associated with recovery from a surgical procedure. Unlike surgery, chemotherapy need not be interrupted, and image-guided therapy may also support treatment at earlier time points while avoiding risk of undesirable symptoms. Finally, ablation presents a lower technical burden to physicians and resource limited hospitals and therefore may be well suited for wider use. Ablation techniques that induce significant alterations in temperature of the targeted tissue are currently used to treat tumors in the lung. Such thermal ablation techniques pose certain efficacy limitations and risks that necessitate investigation of alternate ablation therapies for use in the lung. Irreversible electroporation (IRE) has the potential to overcome these limitations and serve as an important option for treatment of primary and metastatic disease in the lung. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Lake B., Fuller H.R., Rastall S., Usman T.","57196003913;57200127669;36028658600;57200128102;","Breast Reconstruction Affects Coping Mechanisms in Breast Cancer Survivors",2017,"Indian Journal of Surgery",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039853084&doi=10.1007%2fs12262-017-1712-1&partnerID=40&md5=72266865f8fbdcde244b0a324ecf8b3c","Coping strategies used by women with breast cancer are vital for adjustment to their disease. Whilst it is clear that factors such as age at diagnosis, social support and ethnicity can influence coping mechanisms, there is currently no information about whether breast reconstruction changes mechanisms of coping for such patients. The aims of this study, therefore, were to determine how women who have had immediate breast reconstruction and mastectomy cope, compared to those who have mastectomy alone, and whether there are differences in coping mechanisms due to breast reconstruction surgery. This was a retrospective cohort study, using a standardised questionnaire called the Brief Cope Scale. Inclusion criteria was the following: all women who had immediate breast reconstruction and mastectomy in Shropshire from 2003 to 2014 for ductal carcinoma in situ or node-negative invasive breast cancer. Each patient was matched for year of diagnosis, adjuvant therapy and age to one woman who had mastectomy alone. Two hundred thirty-four questionnaires were sent with a 58% response rate. Significantly more patients from the reconstruction cohort coped by active coping (T value 1.66, P value 0.04) compared to those in the mastectomy alone cohort. In contrast, significantly more patients in the mastectomy alone cohort coped by active venting compared to the reconstruction cohort (T value 1.71, P value 0.04). This study indicates for the first time that breast reconstruction may alter coping mechanisms in breast cancer survivors. Awareness of these coping mechanisms will enable clinicians to provide appropriate, individualised support. © 2017 Association of Surgeons of India","Breast cancer; Breast reconstruction; Coping behaviour; Defence mechanisms; Survivors",Article in Press,Scopus
"Arnaboldi P., Riva S., Vadilonga V., Tadini L., Magon G., Pravettoni G.","36163084100;36718039400;57080178600;36492419400;22135213600;16553315000;","Distress and psychosocial needs in patients accessing a cancer day surgery division: Implications for clinical decision making",2017,"Frontiers in Psychology",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007341718&doi=10.3389%2ffpsyg.2016.02040&partnerID=40&md5=dc478a77a159ff79f8c54ca2b01539d7","Introduction: The Distress Thermometer (DT) was built and validated for screening cancer patients for distress, as suggested by the National Comprehensive Cancer Network. The current work was designed to measure the rates of distress in a sample of patients being hospitalized in a multidisciplinary outpatient surgery clinic. Objective: To measure the rates of distress in a sample of patients referring to a multidisciplinary day surgery division in a comprehensive cancer center based in Northern Italy. Methods: A total of 177 patients were asked to fill in the (DT) before surgery. Results: Out of 177 patients, 154 (87%) patients completed the DT. While 13% of the patients indicated a total absence of distress, more than half of the sample declared a moderate or high distress. A total of 55% of patients presented at least three difficulties in the Problem List Checklist. Distress was not correlated with age or other medical and clinical variables. Number of emotional problems was the best predictor of distress at admission (β = 0.655, ρ = 0.000). Conclusion: Screening for distress in a day surgery multidisciplinary oncology division is feasible and a relevant percentage of patients can be identified as clinically distressed. Outcomes also highlight the impact of age and precise physical and psycho-social signs as prognostic indicators of clinically significant distress. Measurement of distress and associated problems list represent the preliminary endpoint toward adequate recommendations that contribute to taking care of distress in cancer patients in cost-effective clinical setting. © 2016 Arnaboldi, Riva, Vadilonga, Tadini, Magon and Pravettoni.","Decision making; Distress; Distress thermometer; Needs assessment; Psychological assessment",Article,Scopus
"Yu W., Xiong Y., Chen Z., Wang F.","57201257224;57050007400;57054326600;56157740700;","Alpha-1-acid glycoprotein as potential predictive biomarker of docetaxel adverse effects in breast cancer patients",2017,"Journal of Chinese Pharmaceutical Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044075560&doi=10.5246%2fjcps.2017.12.100&partnerID=40&md5=f11015c178ebb18d6af10b13586a3356","In the present study, we aimed at identifying the potential relationship between baseline alpha-1-acid glycoprotein (AAG) and the adverse effects of docetaxel in breast cancer patients. A total of 87 breast cancer patients receiving docetaxel at a dose 75 mg/m2 once every 3 weeks as a single agent in adjuvant and neoadjuvant chemotherapy were enrolled in this study. Baseline AAG was determined at the day before usage of decetaxel in the first cycle. Febrile neutropenia, grade 3-4 stomatitis, grade 3-4 diarrhea and severe asthenia was determined as safety end points. Common Terminology Criteria of Adverse Effects (CTCAE) V4.0 was used to evaluated the adverse effects during the first cycle of chemotherapy. The mean age of patients was 47.7±8.89 years. Mean baseline AAG was 0.99±0.24 g/L. Primary adverse effects during the chemotherapy was febrile neutropenia (30%), grade 3-4 stomatitis (17%), grade 3-4 diarrhea (23%), and severe asthenia (20%). Among those adverse effects, febrile neutropenia, grade 3-4 stomatitis and grade 3-4 diarrhea had shown significant association with mean difference of baseline AAG (P &lt; 0.01). Patients who developed febrile neutropenia (n = 26) had lower baseline AAG level of 0.838±0.192 g/L compared with 1.051±0.236 g/L in patients who did not experience such effect (n = 61). Also, the level of baseline AAG in patients who had grade 3-4 stomatitis (0.760±0.176 g/L) and grade 3-4 diarrhea 0.800±0.172 g/L) is lower than those who did not had these events. Baseline AAG is appears to be used as a predictive biomarker of adverse effects in breast cancer patients treated with docetaxel. © 2017 Journal of Chinese Pharmaceutical Sciences.","AAG; Adverse effects; Breast cancer; Docetaxel",Article,Scopus
"Pinnarò P., Giordano C., Farneti A., Faiella A., Iaccarino G., Landoni V., Giannarelli D., Vici P., Strigari L., Sanguineti G.","6603103781;35749798500;36915081600;26424917900;8973699200;8973699300;19733375400;7003784128;15763513100;7005529614;","Short course hypofractionated whole breast irradiation after conservative surgery: A single institution phase II study",2017,"Journal of Experimental and Clinical Cancer Research",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040161878&doi=10.1186%2fs13046-017-0640-z&partnerID=40&md5=c94709409ba88a3598a0ff1483979b99","Background: To assess the oncologic outcomes of hypofractionated whole breast irradiation (Hypo-WBI). Methods: Eligible patients had undergone breast conservative surgery for early breast cancer (pTis-2) and none/limited nodal involvement. Hypo-WBI consisted of 34 Gy in 10 daily fractions over 2 weeks to the whole breast three-dimensional conformal radiotherapy (3DCRT), followed by a single fraction of 8 Gy to the tumor bed after 1 week (electrons). Primary endpoint is freedom from ipsilateral breast tumor recurrence (IBTR). Minimum follow up for living & event-free patients is 3 yrs.; median follow up time of the whole analyzed patient population is 5.4 yrs. (range: 1.8-11.4 yrs). Results: Two hundred fifty-one patients were accrued from 2004 to 2013. All patients underwent local excision of the primary tumor to negative margins. Four patients failed in the ipsilateral breast after a median time of 3.2 years (range: 1.7-5.7 yrs) for a 5-year IBTR-free survival of 98.7% (95%CI: 97.3%-100%). IBTR-free survival was significantly higher for patients with invasive cancer than for patients with intraductal carcinoma (p = 0.036). Within patients with invasive tumors, no clear trends or associations were detected between IBTR and age, grading, molecular subtype, pT or pN stage. At 5 years, the actuarial rates of GR2 fibrosis and GR2+ teleangectasia are 2.4% (95%CI: 0-6.5%) and 7.1% (95%CI: 0.4-13.7%), respectively. Cosmesis was scored as excellent/good by ≈95% of patients and ≈60% of clinicians. Conclusions: Hypo-WBI in 3 weeks allows excellent oncologic outcomes for invasive breast cancer after conservative surgery. Patients with intraductal carcinoma should be treated with Hypo-WBI only within a controlled study. Trial registration: IRE-IFO Ethical and Scientific Committee (cod. RS61/04). © 2017 The Author(s).","Breast carcinoma in situ; Breast neoplasms; Dose hypofractionation; Local neoplasm recurrence; Radiotherapy",Article,Scopus
"Taylor T.B., Wass A.V., Johnson L.J., Dash P.","36134108600;57200178254;56287421100;7102314176;","Resource competition promotes tumour expansion in experimentally evolved cancer",2017,"BMC Evolutionary Biology",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040087484&doi=10.1186%2fs12862-017-1117-6&partnerID=40&md5=3a097aad3f7d321ec1997be5d175f06e","Background: Tumour progression involves a series of phenotypic changes to cancer cells, each of which presents therapeutic targets. Here, using techniques adapted from microbial experimental evolution, we investigate the evolution of tumour spreading - a precursor for metastasis and tissue invasion - in environments with varied resource supply. Evolutionary theory predicts that competition for resources within a population will select for individuals to move away from a natal site (i.e. disperse), facilitating the colonisation of unexploited resources and decreasing competition between kin. Results: After approximately 100 generations in environments with low resource supply, we find that MCF7 breast cancer spheroids (small in vitro tumours) show increased spreading. Conversely, spreading slows compared to the ancestor where resource supply is high. Common garden experiments confirm that the evolutionary responses differ between selection lines; with lines evolved under low resource supply showing phenotypic plasticity in spheroid spreading rate. These differences in spreading behaviour between selection lines are heritable (stable across multiple generations), and show that the divergently evolved lines differ in their response to resource supply. Conclusions: We observe dispersal-like behaviour and an increased sensitivity to resource availability in our selection lines, which may be a response to selection, or alternatively may be due to epigenetic changes, provoked by prolonged resource limitation, that have persisted across many cell generations. Different clinical strategies may be needed depending on whether or not tumour progression is due to natural selection. This study highlights the effectiveness of experimental evolution approaches in cancer cell populations and demonstrates how simple model systems might enable us to observe and measure key selective drivers of clinically important traits. © 2017 The Author(s).","Dispersal; Epigenetic; Experimental evolution; Metastasis; Microenvironment; Plasticity; Resource competition",Article,Scopus
"Vogel J.A., Vroomen L.G.P.H., Srimathveeravalli G.","56462066800;56653353400;15061783100;","The effect of irreversible electroporation on blood vessels, bile ducts, urinary tract, intestines, and nerves",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054948437&doi=10.1007%2f978-3-319-55113-5_5&partnerID=40&md5=637c47ff324dd47b7090d34321d3369d","Surgical resection is the definitive treatment option for patients with primary or metastatic cancers, resulting in the best possible patient outcomes when resection is achieved with negative margins. However, involvement of vital structures such as blood vessels and genitourinary or gastrointestinal tract often poses a contraindication to safe and successful surgical resection. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Meijerink M.R., Nilsson A., Narayanan G., Martin R.","6602254624;57203032187;57205857425;35477245000;","Irreversible electroporation of pancreatic tumors",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054941914&doi=10.1007%2f978-3-319-55113-5_11&partnerID=40&md5=c33f88095e62072137e4fa41fea8fdd2","Over 95% of pancreatic cancers are exocrine tumors that bare a dismal prognosis. Although oncological outcome is best for patients presenting with nonmetastatic resectable disease, cure is rarely achieved [1]. Up to 40% of patients present with nonmetastatic disease that is considered unresectable due to vascular encasement (locally advanced pancreatic carcinoma or LAPC) [1, 2]. These patients are nowadays routinely offered systemic chemotherapy with or without radiotherapy. Irreversible electroporation (IRE) represents a promising new method for focal destruction of pancreatic tumors. Evidence to support its effectiveness is gradually surfacing. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Sweeney D.C., Neal R.E., II, Davalos R.V.","56919276400;34873115100;6701641687;","Multi-scale biophysical principles in clinical irreversible electroporation",2017,"Irreversible Electroporation in Clinical Practice",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054946153&doi=10.1007%2f978-3-319-55113-5_3&partnerID=40&md5=5ae761826186a05972d4157efe7e5cc6","Irreversible electroporation (IRE) is a focal ablation methodology that involved generating brief, but intense, electric fields in a target tissue. These electric fields operate on the cell level to electrically perforate-or permeabilize-the cell membrane while maintaining the structural integrity of the extracellular components [12]. The development of IRE technology significantly improved the outcomes of patients with late-stage. A study investigating such outcomes found that the median survival of stage III pancreatic cancer patients rose from 6-13 to 24.9 months in a 200-person study following IRE treatment [31], roughly doubling patient posttreatment survival. © Springer International Publishing AG 2018.",,Book Chapter,Scopus
"Wang X., Xia J., Wang C., Liu L., Zhu S., Feng W., Li L.","37087841500;57195734479;56115497700;57193098143;57193093291;57188664101;56105723300;","Preparation of Novel Fluorescent Nanocomposites Based on Au Nanoclusters and Their Application in Targeted Detection of Cancer Cells",2017,"ACS Applied Materials and Interfaces",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040069783&doi=10.1021%2facsami.7b16457&partnerID=40&md5=4c9bbec3c75c56a9a48f19eb6ca9a7ad","Fluorescent gold nanoclusters (AuNCs) have drawn considerable research interest owing to their unique emission properties. However, the environment surrounding the NC greatly influences its luminous behavior. In this work, a novel nanocomposite based on AuNCs with bright fluorescence and high biocompatibility was prepared. In this nanocomposite, mesoporous silica nanospheres provided a mesoporous framework, which helped to template the formation of ultrasmall AuNCs and also prevented their aggregation in different solutions. These nanocomposites emitted stable fluorescence even in complex biological environments. After the self-assembly of folic acid-conjugated poly(l-lysine), the presence of folic acid on the nanocomposites guaranteed a good recognition in folate receptor (FR)-positive cells, improving detection selectivity. Cellular experiments demonstrated that the nanocomposites had good dispersity in the physiological environment and could be internalized by FR-positive cancer cells, resulting in bright fluorescence. We believe that this research provides a simple approach to the fabrication of stable fluorescent AuNC nanocomposites, which show good compatibility with complex biological systems and great potential for applications in biological imaging and cell detection. © 2017 American Chemical Society.","cell detection; fluorescence; gold nanoclusters; nanocomposites; self-assembly",Article,Scopus
"Martina Z., Dagmar P., Florian M., Von Michael V.W., Petra S.","57200420185;57200414777;57200414671;57200418428;57192131204;","Towards ICF implementation in menopause healthcare: A systematic review of ICF application in Switzerland",2017,"Swiss Medical Weekly",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041196405&doi=10.4414%2fsmw.2017.14574&partnerID=40&md5=8314391c76acd068e085bac92081354a","AIMS OF THE STUDY: To present a systematic literature review on the application and degree of implementation of the International Classification of Functioning, Disability and Health (ICF) across different health conditions and regions in Switzerland in order to develop an ICF classification of the climacteric syndrome in the medium term. METHODS: A systematic literature search was conducted through Embase and Medline covering the period between 2011 and August 2016. Inclusion criteria were the term ICF in title or abstract and Switzerland as the workplace of the first author. Identified publications were analysed as descriptive statistics. RESULTS: A total of 83 articles were included in the analysis. Forty-seven different first authors from 24 different institutions were identified. The majority of publications were from Swiss Paraplegic Research (68.7%) and focused on neurology (31.3%). Forty-six cohort studies were identified. In most of them, the ICF was used to set up a general language for comparing patients’ information (82.9%). Only one paper from the medical specialty gynaecology was identified; this was on breast cancer. No paper on the menopause was found. CONCLUSION: In Switzerland, the ICF is actively used in various areas of healthcare, especially in the field of neurology and rehabilitation. There is a need for ICF core sets in other medical fields, such as menopause healthcare, in order to accomplish the goal of the European Menopause and Andropause Society, which is a healthcare model for healthy menopause and aging.","Climacteric syndrome; Disability; Health (ICF); International classification of functioning; Menopause; Review; Switzerland",Review,Scopus
"Wu D., Li Y., Yang J., Shen J., Zhou J., Hu Q., Yu G., Tang G., Chen X.","57033223500;55957395700;57071967500;57194101793;56488691000;56165470000;55038202500;7401634016;9336426400;","Supramolecular Nanomedicine Constructed from Cucurbit[8]uril-Based Amphiphilic Brush Copolymer for Cancer Therapy",2017,"ACS Applied Materials and Interfaces",6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040055560&doi=10.1021%2facsami.7b16734&partnerID=40&md5=e432eda285623f3b322a28b89abac9e3","An amphiphilic supramolecular brush copolymer CB[8]⊃(PEG-Np·PTPE) was constructed on the basis of a novel host-guest molecular recognition model formed by cucurbit[8]uril (CB[8]), 4,4′-bipyridinium derivative, and PEGylated naphthol (PEG-Np). In aqueous solution, the resultant supramolecular brush copolymer self-assembled into supramolecular nanoparticles (SNPs), by which the anticancer drug doxorubicin (DOX) was encapsulated in the hydrophobic core, establishing an artful Förster resonance energy transfer system with dual fluorescence quenched. With the help of intracellular reducing agents and low pH environment, the SNPs disassembled and the loaded drug molecules were released, realizing in situ visualization of the drug release via the location and magnitude of the energy transfer-dependent fluorescence variation. The cytotoxicity evaluation indicated DOX-loaded SNPs effectively inhibited cell proliferation against HeLa cells. Animal experiments demonstrated that these DOX-loaded SNPs highly accumulated in tumor tissues through the enhanced permeability and retention effect and also had a long blood circulation time. These multifunctional supramolecular nanoparticles possessing self-imaging and controllable drug release ability exhibited great potential in cancer therapy. © 2017 American Chemical Society.","aggregation-induced emission; drug delivery; host-guest system; self-assembly; supramolecular chemistry",Article,Scopus
